Student_ID,Study_Hours,Attendance,Previous_Marks,Assignment_Score,Result
1,7,82,83,97,Pass
2,4,96,85,77,Pass
3,8,89,48,92,Pass
4,5,92,46,70,Pass
5,7,61,76,75,Pass
6,10,93,54,58,Pass
7,3,85,87,87,Pass
8,7,97,84,84,Pass
9,8,53,58,75,Pass
10,5,54,93,69,Pass
11,4,86,77,94,Pass
12,8,57,68,88,Pass
13,8,91,59,94,Pass
14,3,98,84,72,Pass
15,6,77,63,57,Pass
16,5,80,91,91,Pass
17,2,58,73,88,Fail
18,8,100,65,98,Pass
19,6,78,90,67,Pass
20,2,63,81,98,Pass
21,5,89,77,86,Pass
22,1,90,84,50,Fail
23,10,71,57,96,Pass
24,6,60,78,99,Pass
25,9,72,72,93,Pass
26,1,50,54,84,Fail
27,10,95,57,72,Pass
28,3,86,79,56,Pass
29,7,70,86,45,Pass
30,4,75,50,43,Fail
31,9,95,84,59,Pass
32,3,85,76,87,Pass
33,5,72,94,86,Pass
34,3,50,89,66,Fail
35,7,100,42,54,Pass
36,5,89,84,45,Pass
37,9,64,55,86,Pass
38,7,70,35,53,Pass
39,2,96,89,99,Pass
40,4,58,42,50,Fail
41,9,58,63,78,Pass
42,2,59,66,48,Fail
43,10,75,72,65,Pass
44,9,90,39,55,Pass
45,10,84,81,44,Pass
46,5,74,56,96,Pass
47,2,75,81,91,Pass
48,4,60,68,100,Pass
49,7,87,35,49,Pass
50,8,51,89,89,Pass
51,3,56,89,42,Fail
52,1,67,60,52,Fail
53,4,76,77,82,Pass
54,2,83,44,88,Fail
55,8,76,64,69,Pass
56,4,66,84,93,Pass
57,2,92,52,84,Fail
58,6,93,51,45,Pass
59,6,100,60,56,Pass
60,10,73,42,98,Pass
61,4,74,81,84,Pass
62,6,56,74,90,Pass
63,2,55,83,92,Fail
64,10,73,46,58,Pass
65,2,82,61,81,Fail
66,10,98,42,74,Pass
67,4,78,59,85,Pass
68,8,92,80,65,Pass
69,7,71,38,90,Pass
70,9,75,67,44,Pass
71,8,77,35,68,Pass
72,5,99,53,76,Pass
73,2,70,65,59,Fail
74,5,98,50,88,Pass
75,8,56,48,60,Pass
76,10,66,87,49,Pass
77,9,69,82,44,Pass
78,9,90,39,75,Pass
79,1,98,75,45,Fail
80,9,69,60,65,Pass
81,7,71,62,43,Pass
82,9,77,36,78,Pass
83,8,89,84,78,Pass
84,1,98,40,89,Fail
85,8,56,43,74,Pass
86,8,50,67,40,Pass
87,3,81,75,63,Pass
88,1,62,59,96,Fail
89,8,79,82,75,Pass
90,3,72,47,45,Fail
91,3,100,43,80,Pass
92,1,68,87,93,Fail
93,5,81,47,85,Pass
94,10,79,65,99,Pass
95,7,78,75,83,Pass
96,10,98,45,99,Pass
97,9,94,38,96,Pass
98,7,78,68,70,Pass
99,9,79,95,59,Pass
100,8,65,72,63,Pass
101,2,89,80,64,Pass
102,1,68,38,75,Fail
103,7,67,72,60,Pass
104,7,50,53,69,Pass
105,8,63,40,63,Pass
106,5,100,68,83,Pass
107,3,96,52,81,Pass
108,8,99,47,69,Pass
109,6,51,75,61,Pass
110,3,77,57,67,Fail
111,1,98,53,46,Fail
112,3,99,79,74,Pass
113,5,79,45,94,Pass
114,3,87,35,67,Fail
115,1,100,58,53,Fail
116,5,53,88,95,Pass
117,10,50,41,49,Pass
118,7,57,59,55,Pass
119,7,78,55,55,Pass
120,9,88,49,93,Pass
121,10,52,35,70,Pass
122,10,81,46,81,Pass
123,3,59,92,64,Pass
124,7,59,41,52,Pass
125,1,68,49,45,Fail
126,4,95,55,83,Pass
127,4,83,53,48,Fail
128,5,82,94,84,Pass
129,7,72,63,75,Pass
130,7,77,59,95,Pass
131,4,81,67,82,Pass
132,7,99,83,59,Pass
133,3,56,66,57,Fail
134,6,78,83,97,Pass
135,2,57,69,82,Fail
136,10,50,78,96,Pass
137,9,52,72,60,Pass
138,5,73,60,43,Pass
139,6,72,45,89,Pass
140,4,57,69,72,Pass
141,10,96,42,66,Pass
142,7,86,80,46,Pass
143,9,52,48,45,Pass
144,7,100,44,54,Pass
145,1,82,36,57,Fail
146,1,77,80,71,Fail
147,9,96,43,95,Pass
148,9,57,37,50,Pass
149,4,83,55,59,Pass
150,9,84,60,63,Pass
151,3,81,42,54,Fail
152,7,73,82,87,Pass
153,6,63,36,46,Fail
154,8,81,40,60,Pass
155,9,95,62,81,Pass
156,5,92,87,65,Pass
157,1,65,63,83,Fail
158,3,53,60,95,Fail
159,10,86,59,53,Pass
160,8,70,46,96,Pass
161,6,63,39,76,Pass
162,8,80,68,97,Pass
163,9,97,82,60,Pass
164,4,67,71,57,Pass
165,1,56,49,44,Fail
166,1,59,78,42,Fail
167,10,56,70,62,Pass
168,4,82,49,65,Fail
169,7,72,77,76,Pass
170,2,70,82,63,Fail
171,3,68,57,88,Fail
172,1,97,40,58,Fail
173,5,68,80,90,Pass
174,1,85,84,64,Fail
175,8,78,78,60,Pass
176,1,67,93,51,Fail
177,1,51,77,96,Fail
178,2,50,79,100,Fail
179,2,96,55,80,Fail
180,6,54,57,72,Pass
181,7,69,77,89,Pass
182,5,60,89,92,Pass
183,1,91,50,43,Fail
184,1,51,81,81,Fail
185,3,52,87,96,Pass
186,2,72,94,46,Fail
187,5,61,49,61,Fail
188,10,69,59,94,Pass
189,6,54,70,72,Pass
190,7,86,45,56,Pass
191,4,87,85,63,Pass
192,7,79,49,100,Pass
193,8,58,38,100,Pass
194,1,83,55,73,Fail
195,6,93,47,67,Pass
196,8,84,56,97,Pass
197,5,71,53,82,Pass
198,4,93,68,80,Pass
199,2,73,48,78,Fail
200,6,66,95,61,Pass
201,6,59,38,88,Pass
202,1,79,82,56,Fail
203,9,95,87,73,Pass
204,6,72,86,45,Pass
205,3,81,80,85,Pass
206,4,66,61,45,Fail
207,4,99,63,73,Pass
208,3,100,81,40,Pass
209,10,66,62,49,Pass
210,3,63,69,60,Fail
211,3,58,42,44,Fail
212,4,89,50,41,Fail
213,7,51,76,61,Pass
214,4,94,70,87,Pass
215,9,74,64,96,Pass
